The Which Witch Quiz,https://www.wizardingworld.com/quiz/which-witch-quiz,10,Which witch said: “I assert our inalienable right to party”?,Seraphina Picquery(False);Millicent Bagnold(True);Celestina Warbeck(False);Nymphadora Tonks(False);,In the book&#44 Prisoner of Azkaban&#44 which witch kept letting herself get ‘caught’ during the Witch Trials?,Miranda Goshawk(False);Ottaline Gambon(False);Wendelin the Weird(True);Bridget Wenlock(False);,Which witch (who was Minister for Magic) was good friends with Queen Victoria?,Josephina Flint(False);Priscilla Dupont(False);Hermione Granger(False);Evangeline Orpington(True);,Which of these witches was a Ravenclaw student during Harry’s time at Hogwarts?,Hannah Abbott(False);Daphne Greengrass(False);Marietta Edgecombe(True);Susan Bones(False);,Which witch was a captain of the Holyhead Harpies?,Gertie Keddle(False);Minerva McGonagall(False);Gwenog Jones(True);Ginny Weasley(False);,Which witch invented Floo Powder?,Ignatia Wildsmith(True);Fleamont Potter(False);Eupraxia Mole(False);Mary Jauncey(False);,Which witch was Sirius Black’s mother?,Callidora Black(False);Isla Black(False);Bellatrix Black(False);Warburga Black(True);,Which witch became Hogwarts headmistress in Harry Potter and the Order of the Phoenix?,Minerva McGonagall(False);Dolores Umbridge(True);Irma Pince(False);Pomona Sprout(False);,Which witch was a Metamorphmagus?,Rowena Ravenclaw(False);Queenie Goldstein(False);Madam Maxime(False);Nymphadora Tonks(True);,Which witch wrote 'A History of Magic'?,Bathilda Bagshot(True);Cassandra Vablatsky(False);Rita Skeeter(False);Miranda Goshawk(False);,
The Wizarding World Summer Quiz,https://www.wizardingworld.com/quiz/the-wizarding-world-summer-quiz,15,Why does Harry not receive his letters from over the summer in Chamber of Secrets?,All owls had flown south for summer(False);His window was barred so the owls couldn’t deliver them(False);Dobby was stopping the letters arriving(True);His friends simply forgot(False);,When does Harry use Floo powder for the first time?,To attend his Ministry of Magic hearing(False);To travel to The Burrow(False);To get to Diagon Alley in his second year(True);To meet Dumbledore at Slughorn's hideout(False);,Mrs Figg usually looks after Harry when the Dursleys go away - but what happened in Philosopher's Stone&#44 so she couldn't?,She goes missing(False);She loses her cat and goes searching for it(False);She gets cursed(False);She breaks her leg(True);,To what room number does Harry receive a letter while staying in the Railview Hotel?,17(True);21(False);12(False);15(False);,What message does Aunt Petunia receive (via Howler) after Uncle Vernon tries to kick Harry out?,Remember my last&#44 Petunia(True);Don't forget what I said(False);You know he must stay(False);Stay in reason&#44 Petunia(False);,Where do the Weasley family go on summer holiday after Mr Weasley wins the annual Daily Prophet Grand Prize Galleon Draw?,Romania(False);Cornwall(False);Ireland(False);Egypt(True);,Who wrote the article ‘ALBUS DUMBLEDORE REMEMBERED’?,Rita Skeeter(False);Elphias Doge(True);Bathilda Bagshot(False);Xenophilius Lovegood(False);,Summer is usually the time Hogwarts students go shopping. How many sets of plain work robes are first-years required to bring?,4(False);2(False);3(True);1(False);,How many birthday presents does Dudley receive&#44 causing him to throw a tantrum and Aunt Petunia to buy him two more?,36(False);39(False);37(True);35(False);,What is the name of Aunt Marge’s dog that she brings round to the Dursleys’?,Axel(False);Brutu(False);Chomper(False);Ripper(True);,Where is the old boot Portkey placed that takes Harry&#44 Hermione and the Weasleys to the Quidditch World Cup?,Little Whinging(False);Cotswolds(False);Claxby Hill(False);Stoatshead Hill(True);,Where does Hagrid travel to try and convince the giants to join the battle against Lord Voldemort?,South Africa(False);Scotland(False);Eastern Europe(True);South America(False);,Why does Harry hide in a flowerbed outside 4 Privet Drive?,So he didn’t have to do house chores(False);To listen to the news(True);To hide from Dudley’s gang(False);To avoid Mrs Figg(False);,Who is meant to be watching Harry but Disapparates on the night he and Dudley are attacked by Dementors?,Mundungus Fletcher(True);Mrs Figg(False);Mad-Eye Moody(False);Kreacher(False);,What did Hermione once spend a summer making?,Homework planners(False);Polyjuice Potion(False);A personalised wizard chess set for Ron(False);Knitted hats for house-elves(True);,
The Neville Longbottom Quiz,https://www.wizardingworld.com/quiz/the-neville-longbottom-quiz,15,What is Neville’s grandmother’s name?,Rolanda(False);Augusta(True);Cedrella(False);Emmeline(False);,What is Neville’s Patronus?,Non-Corporeal (no form)(True);Grey Stallion(False);Dove(False);Owl(False);,What does Neville use to kill Nagini?,The Sword of Gryffindor(True);Basilisk fang(False);His wand(False);A knife(False);,How many points does Neville win for Gryffindor for standing up to Harry&#44 Ron and Hermione in Philosophers Stone?,5(False);10(True);15(False);20(False);,Who does Neville marry?,Susan Bones(False);Luna Lovegood(False);Megan Jones(False);Hannah Abbott(True);,Who is Neville Godfather to?,Lily Luna Potter(False);James Potter(False);Rose Granger Weasley(False);Albus Potter(True);,After thinking Neville might be a Squib&#44 what did his uncle do to ‘test’ if he had magical abilities?,He was asked to eat something poisonous(False);He was dropped off a pier and floated straight to shore(False);He was dropped out of a window and bounced(True);He was forced to try and make something disappear(False);,What food did Neville use to try and protect himself from being attacked in Chamber of Secrets?,Salmon(False);Garlic(False);Onion(True);Brie(False);,Who did Neville invite to the Yule Ball before asking Ginny?,Hermione Granger(True);Katie Bell(False);Luna Lovegood(False);Fleur Delacour(False);,When does Harry say his name is Neville Longbottom to avoid drawing attention to himself?,When he meets a waitress in Treats Café(False);When he first meets Sirius Black(False);When he&#44 Ron and Hermione are captured by snatchers(False);When he first gets on the Knight Bus(True);,How long is Neville’s second wand?,12 inches(False);13 1/2 inches(False);10 inches(False);13 inches(True);,What cactus-like plant does Neville receive for his birthday from his Great Uncle Algie?,Alihosty(False);Bubotuber(False);Gillyweed(False);Mimbulus Mimbletonia(True);,Who is Neville’s Boggart?,Severus Snape(True);Bellatrix Lestrange(False);Lord Voldemort(False);Draco Malfoy(False);,What was Neville’s parents’ profession?,Dentists(False);Professors at Hogwarts(False);Aurors(True);Writers(False);,Who gave Neville his pet toad Trevor?,Augusta Longbottom (his grandmother)(False);Algie Longbottom (his great uncle)(True);Alice Longbottom (his mum)(False);Frank Longbottom (his dad)(False);,
The Charms&#44 Hexes and Curses Quiz,https://www.wizardingworld.com/quiz/the-charms-hexes-and-curses-quiz,15,What spell is used to open locked doors?,Reparo(False);Revelio(False);Incendio(False);Alohomora(True);,What is the counter charm to Engorgio?,Reducio(True);Imperio(False);Reducto(False);Obliviate(False);,In Philosopher’s Stone&#44 Hermione uses the spell Petrificus Totalus on Neville. But what did this spell do to him?,Hung him upside down by his ankle(False);Scared him so he wouldn’t stop screaming(False);Prevented him from speaking(False);Temporarily paralysed him(True);,What charm did Professor McGonagall use to bring the statues and suits of armour to life in Deathly Hallows?,Homenum Revelio(False);Petrificus Totalus(False);Piertotum Locomotor(True);Priori Incantato(False);,When did Harry use the Refilling Charm?,To refill Slughorn and Hagrid’s glasses(True);To refill his cauldron after he spills a potion(False);To fill up the prefect’s bathtub(False);To refill his Felix Felicis bottle(False);,What spell is used to conjure the Dark Mark?,Morsmordre(True);Impedimenta(False);Sectumsepra(False);Imperio(False);,What type of spell is Expecto Patronum?,Charm(True);Curse(False);Hex(False);Jinx(False);,What is the counter-jinx for Levicorpus?,Legilimens(False);Rennervate(False);Viberacorpus(False);Liberacorpus(True);,What does the spell Serpensortia do?,Temporarily paralyses the victim(False);Conjures a snake from the end of the wand(True);Allows the conjuror to talk to snakes(False);Slices and maims the target&#44 as if they are being cut by an invisible sword(False);,What is the spell Anapneo used for?,Clearing someone’s airways if choking(True);Turning the wand into a compass(False);Make invisible ink appear(False);Protection against hexes(False);,Who tried to use the ‘spell’ Peskipiksi Pesternomi?,Remus Lupin(False);Bellatrix Lestrange(False);Severus Snape(False);Gilderoy Lockhart(True);,What charm does Hermione use to move a Christmas tree in Prisoner of Azkaban?,Wingardium Leviosa(False);Mobiliarbus(True);Locomotor(False);Levicorpus(False);,Which of these spells did Severus Snape create? (Select all that apply),Obscuro(False);Langlock(True);Muffliato(True);Levicorpus(True);Sectumsempra(True);,What spell can be used to turn stairs into a slide?,Glisseo(True);Oppugno(False);Fidelius(False);Waddiwasi(False);,What does Densaugeo do?,Causes the victim to grow a pig tail(False);Causes the victim to vomit slugs(False);Causes the victim’s front teeth to grow(True);Causes the victim‘s skin to break out in boils(False);,
A Really Rather Long Harry Potter Quiz,https://www.wizardingworld.com/quiz/a-really-rather-long-wizarding-world-quiz,50,What is Harry Potter’s middle name?,James(True);George(False);Albus(False);Remus(False);,Which other Hogwarts student born at the end of July was also considered to be the subject of the prophecy by Voldemort?,Draco Malfoy(False);Dean Thomas(False);Neville Longbottom(True);Seamus Finnigan(False);,Finish the quote: ‘Now&#44 if you two don't mind&#44 I'm going to bed&#44 before either of you come up with another clever idea to get us killed — or worse...,Sent to Azkaban(False);Attacked(False);Expelled(True);Cursed(False);,What Hogwarts house was Newt Scamander in?,Hufflepuff(True);Gryffindor(False);Slytherin(False);Ravenclaw(False);,What’s the name of the Hippogriff that Harry rides in Prisoner of Azkaban?,Buckbeak(True);Horntail(False);Fleetwing(False);Beaktail(False);,What are Muggles also referred to as in Fantastic Beasts? (Select all that apply),Non-Magiques(True);No-Majs(True);Unpowerfuls(False);Can’t-Spells(True);Squibs(False);Non-Magicals(False);,In which film do Hermione and Ron share their first kiss?,Order of the Phoenix(False);Deathly Hallows (Part 1)(False);Half-Blood Prince(False);Deathly Hallows (Part 2)(True);,Which family did Winky the house-elf serve?,Malfoys(False);Potters(False);Diggorys(False);Crouches(True);,When Harry was taken to platform nine and three-quarters in Philosopher’s Stone&#44 the Dursleys were travelling to London anyway. But why?,For a family trip to the zoo(False);To take Dudley to a videogame convention(False);To take Dudley to the hospital(True);To collect their new puppy(False);,What floor of Hogwarts is the Room of Requirement on?,2(False);7(True);3(False);5(False);,What is Newt Scamander’s full name?,Newt Ludo Phineas Scamander(False);Newton Scamander(False);Newt Arthur Frederick Scamander(False);Newton Artemis Fido Scamander(True);,What Hogwarts house is Albus Severus Potter in?,Ravenclaw(False);Hufflepuff(False);Slytherin(True);Gryffindor(False);,What year did Dumbledore defeat Grindelwald in their famous duel?,1946(False);1944(False);1945(True);1947(False);,Hermione accidentally turned herself into a cat in Chamber of Secrets – but who did she intend to transform into?,Millicent Bulstrode(True);Pansy Parkinson(False);Tracey Davis(False);Daphne Greengrass(False);,In which of these films does Dolores Umbridge feature? (Select all that apply),Harry Potter and the Prisoner of Azkaban(False);Harry Potter and the Goblet of Fire(False);Harry Potter and the Order of the Phoenix(True);Harry Potter and the Philosopher's Stone(False);Harry Potter and the Deathly Hallows Part 1(True);,What sort of wand does Hermione have?,Phoenix feather core&#44 eight inches&#44 willow(False);Unicorn hair core&#44 ten inches&#44 hawthorn(False);Dragon heartstring core&#44 ten and three-quarter inches&#44 vine wood(True);Phoenix feather core&#44 twelve inches&#44 ash wood(False);,Who was NOT a member of Dumbledore’s Army? (Select all that apply),Parvati Patil(False);Gregory Goyle(True);Lavender Brown(False);Cormac McLaggen(True);Zacharias Smith(False);,What animal makes Hagrid sneeze?,Cat(True);Dog(False);Rabbit(False);Rat(False);,What house is Professor Quirrell in?,Gryffindor(False);Hufflepuff(False);Slytherin(False);Ravenclaw(True);,What is the name of the graveyard where the Riddle family are buried?,Tinworth Cemetery(False);Little Whinging Graveyard(False);Little Hangleton Graveyard(True);Godric’s Hollow Graveyard(False);,In the Triwizard Tournament’s third task&#44 which magical creature asked Harry a riddle?,Sphinx(True);Giant(False);Centaur(False);Pixie(False);,What is the maximum number of first years Hagrid would allow in a single boat in the book Philosopher’s stone?,8(False);6(False);3(False);4(True);,Which of these is NOT on the book list for second years?,Capers with Kelpies by Gilderoy Lockhart(True);Year with the Yeti by Gilderoy Lockhart(False);Holidays with Hags by Gilderoy Lockhart(False);Travels with Trolls by Gilderoy Lockhart(False);,What Christmas present did Hermione give Harry in Philosopher’s stone?,A homework planner(False);Chocolate Frogs(True);His own wizard chess set(False);A new copy of Hogwarts: A History(False);,What is Madam Pomfrey’s first name?,Poppy(True);Penny(False);Penelope(False);Phoebe(False);,Who does Hermione say she is when the trio are caught by Snatchers in Deathly Hallows?,Pansy Parkinson(False);Millicent Bulstrode(False);Katie Bell(False);Penelope Clearwater(True);,Who succeeded Oliver Wood as Gryffindor Quidditch captain?,Angelina Johnson(True);Ron Weasley(False);Katie Bell(False);Harry Potter(False);,Who takes the Polyjuice Potion in the Deathly Hallows Part 1 film to become Harry? (Select all that apply),Fleur(True);Fred(True);George(True);Hagrid(False);Bill(False);,Which peaceful creature can turn invisible?,Kelpie(False);Niffler(False);Demiguise(True);Occamy(False);,What is Grindelwald’s first name?,Gerald(False);Godric(False);Gellert(True);George(False);,When is Lord Voldemort’s birthday?,31st May 1926(False);31st October 1926(False);31st June 1926(False);31st December 1926(True);,What does S.P.E.W stand for?,Society for the Protection of Elfish Ways(False);Society for the Power of Elfish Well-Being(False);Society for the Protection of Elves and Wizards(False);Society for the Promotion of Elfish Welfare(True);,True or False? Harry Potter went on to be Head of the Misuse of Muggle Artefacts Office at the Ministry of Magic.,False(True);True(False);,Which book did Harry take out of school&#44 resulting in him losing 5 points from Gryffindor?,Flying with the Cannons(False);The Tales of Beedle the Bard(False);Quidditch Through the Ages(True);Men Who Love Dragons Too Much(False);,When Sirius is rescued by Harry and Hermione in Prisoner of Azkaban - where is he?,Flitwick’s Office(True);Dumbledore’s Office(False);McGonagall’s Office(False);Astronomy Tower(False);,Finish the lyric: ‘Weasley cannot save a thing’ –,He cannot fly&#44 he never wins(False);He always lets the Quaffle in(False);He cannot block a single ring(True);He flies like he is on a string(False);,What does the spell Tarantallegra do?,Makes the victim’s legs dance uncontrollably(True);Shoots spiders from the end of the wand(False);Causes the victim to be covered in pasta(False);Makes the victim break into a song(False);,In which sea is Azkaban located?,Arabian Sea(False);North Sea(True);Yellow Sea(False);Black Sea(False);,In Fantastic Beasts and Where to Find Them&#44 Tina Goldstein tells Newt she works for MACUSA. But what does this stand for?,The Magical Capital of the United States of America(False);The Magical Congress of the United States of America(True);The Ministry Capital of the United States of America(False);The Management Congress of the United States of America(False);,What is Gamp’s Old Gregarious?,A wild plant that strips a wizard’s ability to do magic(False);A potion to make you popular(False);A disgusting tasting beer(True);A pub in East London(False);,Who does Hermione turn into using Polyjuice Potion when she breaks into the Ministry of Magic in Deathly Hallows?,Mafalda Hopkirk(True);Eugenia Jenkins(False);Dolores Umbridge(False);Millicent Bagnold(False);,What was the intention of Rappaport’s Law?,To join together the wizarding community and No-Maj community(False);To allow legal marriage between the wizarding community and No-Maj community(False);To create absolute segregation between the No-Maj and wizarding communities(True);To prevent the No-Maj president from contacting the head of MACUSA(False);,Who invented Floo powder?,Ignotus Peverell(False);Ignatia Wildsmith(True);Salazar Slytherin(False);Elizabeth McGilliguddy(False);,Which country is the wizarding school Castelobruxo situated in?,Canada(False);Brazil(True);South Africa(False);Australia(False);,Which witch passed the Invisibility Cloak down Harry’s family?,Perenelle Flamel(False);Bathilda Bagshot(False);Cassandra Vablatsky(False);Iolanthe Peverell(True);,Which precious stones are inset in the sword of Gryffindor?,Diamonds(False);Emeralds(False);Sapphires(False);Rubies(True);,What page of Advanced Potion-Making can the Draught of Living Death be found?,Page 140(False);Page 10(True);Page 364(False);Page 258(False);,Where did Vernon and Petunia Dursley meet?,In an office job(True);In a zoo(False);In History class at school(False);In a museum(False);,In a famous Floo Powder mishap&#44 what year did the witch Violet Tillyman disappear?,1855(True);1823(False);1934(False);1907(False);,Last one! What time does the Hogwarts Express depart?,11pm(False);11am(True);11:30am(False);11:45am(False);,
The Malfoy Family Quiz,https://www.wizardingworld.com/quiz/the-malfoy-quiz,15,Malfoy Manor has been in the Malfoy family for years&#44 but where is it located?,Buckinghamshire(False);Berkshire(False);Wiltshire(True);Cornwall(False);,In Half-Blood Prince&#44 Narcissa Malfoy creates an Unbreakable Vow with Severus Snape to protect Draco - with which other family member?,Sirius Black(False);Andromeda Tonks(False);Lucius Malfoy(False);Bellatrix Lestrange(True);,Which Malfoy ancestor was believed to have been involved in a plot that saw the first Muggle-born Minister for Magic leave his post prematurely?,Abraxas(True);Armand(False);Nicholas(False);Septimus(False);,Who does Draco Malfoy go on to marry?,Astoria Greengrass(True);Daphne Greengrass(False);Millicent Bulstrode(False);Pansy Parkinson(False);,When Harry&#44 Ron&#44 and Hermione end up captured in Malfoy Manor&#44 who takes Narcissa's wand?,Hermione(False);Dobby(True);Griphook(False);Harry(False);,What animal does Draco get turned into in Goblet of Fire?,Guinea pig(False);Ferret(True);Llama(False);Otter(False);,Narcissa Malfoy’s mother was a Squib. True or false?,False(True);True(False);,What does the Malfoy name translate to?,Bad mind(False);Bad memories(False);Bad faith(True);Bad blood(False);,In the films&#44 what animal features at the base of Lucius Malfoy’s wand?,Spider(False);Wolf(False);Scorpion(False);Snake(True);,Lucius Malfoy aspired to be Minister for Magic but lost out to Cornelius Fudge. True or false?,False(True);True(False);,What is Draco’s star sign?,Capricorn(False);Leo(False);Pisces(False);Gemini(True);,Which house-elf belonged to the Malfoys?,Hokey(False);Winky(False);Kreacher(False);Dobby(True);,Draco’s name comes from the Latin for which creature?,Bat(False);Lizard(False);Dragon(True);Serpent(False);,What is the name of Draco Malfoy’s son?,Scorpius(True);Cygnus(False);Septimus(False);Salazar(False);,Which Diagon Alley shop does Harry first meet Draco Malfoy?,Eeylops Owl Emporium(False);Quality Quidditch Supplies(False);Madam Malkin's Robes for All Occasions(True);Flourish and Blotts(False);,
The Luna Lovegood Quiz,https://www.wizardingworld.com/quiz/the-luna-lovegood-quiz,15,What is the name of Luna’s father?,Lucius(False);James(False);Xenophilius(True);Amos(False);,What is Luna’s Patronus?,Otter(False);Deer(False);Hare(True);Rabbit(False);,Luna is known for storing her wand behind her ears for safekeeping&#44 but which one is she known for putting it behind?,Right ear(False);Left ear(True);,Who does Luna end up marrying?,Rolf Scamander(True);George Weasley(False);Dean Thomas(False);Neville Longbottom(False);,Which of these magical creatures are actually real in the wizarding world – rather than Lovegood speculations? (Select all that apply),Fwooper(True);Nargle(False);Blibbering Humdinger(False);Jobberknoll(True);Crumple-Horned Snorkacks(False);,In the film&#44 what colour are Luna’s shoes she finds hanging up at the end of Order of the Phoenix?,Black and Orange(False);Green and Blue(False);Yellow and Purple(False);Red and White(True);,What is Luna reading when Harry meets her for the first time?,Witch Weekly(False);Hogwarts: A History(False);The Quibbler(True);The Daily Prophet(False);,How old was Luna when her mum died?,4(False);11(False);9(True);12(False);,Hogwarts students often refer to Luna with a nickname&#44 but what is it?,Loony Lovegood(True);Loser Lovegood(False);Lazy Lovegood(False);Loopy Lovegood(False);,Luna has twin daughters with her husband. True or False?,True(False);False(True);,Luna tells Harry ‘things we lose have a way of coming back to us in the end. If not always in the ways we expect’ but who used to say this to Luna?,Her mum(True);Her grandmother(False);Nargles(False);Her dad(False);,In the film&#44 which spell does Luna use to fix Harry’s broken nose in Half-Blood Prince?,Scourgify(False);Reparo(False);Episkey(True);Brackium Emendo(False);,What conspiracy did Luna firmly believe the Aurors were a part of?,The Damplang Conspiracy(False);The Rotfang Conspiracy(True);The Mouldgang Conspiracy(False);The Bilgesang Conspiracy(False);,What is on the list of Luna’s lost possessions? (Select all that apply),Invisibility Cloak(False);Pair of school shoes(True);Pet Pygmy Puff(False);Pair of stripy socks(True);Easy spells to fool Muggles(True);,In Luna’s bedroom&#44 who ISN’T included in her painting of her Hogwarts friends? (Select all that apply),Neville(False);Padma(True);Hermione(False);Ginny(False);Seamus(True);Harry(False);Ron(False);,
The Potions Quiz,https://www.wizardingworld.com/quiz/the-potions-quiz,15,In Harry’s first lesson with Snape&#44 what is the first potion the class learn to make?,Polyjuice Potion(False);Confusing Concoction(False);A potion to cure boils(True);An antidote to common poisons(False);,What colour is a Shrinking Solution supposed to be?,Bright orange(False);Acid green(True);Glimmering gold(False);Midnight blue(False);,What would you get if you added powdered root of asphodel to an infusion of wormwood?,Pepperup Potion(False);Draught of Peace(False);Draught of Living Death(True);Wolfsbane Potion(False);,What O.W.L. result did Harry get in Potions?,Troll(False);Acceptable(False);Outstanding(False);Exceeds Expectations(True);,What ingredients do you need to make a Polyjuice Potion? (Select all that apply),Shrivelfig(False);Knotgrass(True);Leeches(True);Lacewing flies(True);Fluxweed(True);,How many hours of good luck were contained in the bottle of Felix Felicis Professor Slughorn offered as a prize?,24 hours(False);48 hours(False);6 hours(False);12 hours(True);,When tasked to brew ‘something amusing’ what did Harry make for Professor Slughorn?,Hiccoughing Solution(False);Confusing Concoction(False);Dizziness Draught(False);An Elixir to Induce Euphoria(True);,After being attacked by Nagini in Order of the Phoenix&#44 what potion did Arthur have to take every hour during his recovery?,Pepperup Potion(False);Skele-Gro(False);Blood-Replenishing Potion(True);Strengthening Solution(False);,Who was the writer of Magical Drafts and Potions?,Adalbert Waffling(False);Phyllida Spore(False);Arsenius Jigger(True);Emeric Switch(False);,Muggles can make potions if they had the right ingredients. True or false?,True(False);False(True);,Which potion is distinctive because of its ‘mother-of-pearl sheen’?,Amortentia(True);Elixir of Life(False);Pepperup Potion(False);Baruffio’s Brain Elixir(False);,Which potion did poor Trevor the toad have to test out?,Swelling Solution(False);Shrinking Solution(True);Scintillation Solution(False);Strengthening Solution(False);,Which potions book did Hermione read to learn how to make Polyjuice Potion?,Advanced Potion Making(False);Weird Wizarding Dilemmas and Their Solutions(False);Moste Potente Potions(True);Magical Drafts and Potions(False);,What colour is Veritaserum?,None&#44 it's clear(True);Silver(False);Frothy white(False);Green(False);,Which scents does Harry smell when he sniffs Amortentia? (Select all that apply),Something flowery from The Burrow(True);Butterbeer(False);Hedwig’s feathers(False);Treacle tart(True);Broomstick wood(True);,
The Weasley Twins Quiz,https://www.wizardingworld.com/quiz/the-weasley-twins-quiz,15,Which of these ‘products’ was NOT a Skiving Snackbox created by the Weasley twins? Select all that apply. (Select all that apply),Nosebleed Nougat(False);Coughing Confectionaries(True);Puking Pastilles(False);Sneezy Sweets(True);,Who took Angelina Johnson to the Yule Ball? Fred or George?,Fred(True);George(False);,What broomstick did the twins use playing Quidditch for Gryffindor?,Cleansweep Fives(True);Comet 260s(False);Cleansweep Sevens(False);Nimbus 2000s(False);,Which brother reckons he had a bogey-flavoured Every Flavour Bean once?,Fred(False);George(True);,In which book did Fred and George give Harry the Marauder’s Map?,Chamber of Secrets(False);Prisoner of Azkaban(True);Goblet of Fire(False);Philosopher's Stone(False);,Which brother told Ron the ‘spell’ to turn Scabbers yellow?,Fred(False);George(True);,Who had the misfortune of ‘sampling’ one of Fred and George’s Canary Creams?,Neville Longbottom(True);Lee Jordan(False);Seamus Finnigan(False);Ron Weasley(False);,Which brother yelled&#44 ‘YOU’RE JOKING’ when Albus Dumbledore told Hogwarts they were to take part in the Triwizard Cup?,George(False);Fred(True);,Which of Fred and George’s creations did Professor Flitwick deem a ‘really good bit of magic’?,Extendable Ears(False);Punching telescope(False);Headless Hat(False);Portable Swamp(True);,Which brother unfortunately lost an ear during the flight of the Order of the Phoenix to transport Harry?,George(True);Fred(False);,Which floor of Hogwarts did Fred and George set-up their impromptu joke shop before getting their own business at Diagon Alley?,Seventh floor(True);Fourth floor(False);Sixth floor(False);Fifth floor(False);,Which brother said&#44 ‘Give ‘em hell from us&#44 Peeves!’,Fred(True);George(False);,How many O.W.L.s did the twins secure each?,Four(False);Two(False);Six(False);Three(True);,Which brother was known as ‘Rapier’ on the impromptu radio show&#44 Potterwatch?,Fred(True);George(False);,George named one of his two children after Fred. What is the other one called?,Alicia(False);Roxanne(True);Angelina(False);Katie(False);,
The Hogwarts Castle Quiz,https://www.wizardingworld.com/quiz/the-hogwarts-castle-quiz,15,What should you watch out for on the hidden staircase concealed by a tapestry?,A vanishing step(True);Fire Crabs(False);Peeves’ hiding place(False);The Bloody Baron(False);,Which Hogwarts tower is the tallest?,Gryffindor Tower(False);North Tower(False);Astronomy Tower(True);Ravenclaw Tower(False);,How do you enter the Hogwarts kitchens?,Tickle the pear in a bowl of fruit painting(True);A house-elf must Apparate you inside(False);Tap barrels in the basement rhythmically(False);Answer the Far Friar’s riddle(False);,Where is the Slytherin common room located?,Under the lake(True);Below the Owlery(False);The top of Slytherin Tower(False);By the Forbidden Forest(False);,What happens if a boy tries to enter the Gryffindor girls’ dormitories?,They sprout grey hair and beards(False);The staircase becomes a slide(True);They get Transfigured into toads(False);The door handle melts in their hand(False);,Which creatures does Harry NOT encounter in the Forbidden Forest?,Mooncalves(True);Acromantula(False);Centaurs(False);Hippogriffs(False);,The Room of Requirement is located opposite a tapestry of whom?,Boris the Bewildered(False);Wendelin the Weird(False);Gregory the Smarmy(False);Barnabas the Barmy(True);,Where does the passageway concealed by a one-eyed witch statue lead?,The Shrieking Shack(False);A cave just outside Hogsmeade(False);Honeydukes cellar(True);The Hog’s Head(False);,How many staircases are there in Hogwarts?,112(False);125(False);138(False);142(True);,What do Muggles see when they look at Hogwarts?,A disused power plant(False);An old ruin(True);An abandoned department store(False);A mountain(False);,Which Hogwarts subject is taught in North Tower?,Divination(True);Arithmancy(False);Ancient Runes(False);Astronomy(False);,Which feature of the Hogwarts grounds owes its existence to Remus Lupin?,The Whomping Willow(True);The lake(False);The Quidditch Pitch(False);The Owlery(False);,Which of these people were never a Hogwarts headteacher?,Phineas Nigellus Black(False);Dilys Derwent(False);Dexter Fortescue(False);Roderick Plumpton(True);,Which floor is the Prefects’ bathroom on?,Sixth(False);Fifth(True);Third(False);Fourth(False);,Which ancient tome lies hidden in a secret locked tower at Hogwarts?,The Book of Secret Locked Towers(False);Magick Moste Evile(False);Hogwarts: A History(False);The Book of Admittance(True);,
The Ultimate Hufflepuff Quiz,https://www.wizardingworld.com/quiz/web-the-ultimate-hufflepuff-quiz,15,The Hufflepuff common room is situated near which Hogwarts facility?,Kitchen(True);Hospital wing(False);Greenhouses(False);Library(False);,What is the name of Cedric Diggory’s father?,Andy(False);Amos(True);Albert(False);Antioch(False);,Who acted as referee when Harry played his first Quidditch match against Hufflepuff?,Lee Jordan(False);Professor Snape(True);Professor McGonagall(False);Madam Hooch(False);,What was the name of Newt Scamander’s Demiguise?,Ted(False);Dougal(True);Jack(False);Doyle(False);,Professor Sprout attended Hogwarts at the same time as which other Head of House?,Slughorn(False);Snape(False);McGonagall(True);Flitwick(False);,What position on the Hufflepuff Quidditch team was held by Cedric Diggory?,Chaser(False);Seeker(True);Keeper(False);Beater(False);,What Quidditch position does Zacharias Smith play?,Keeper(False);Seeker(False);Chaser(True);Beater(False);,Complete the line from the Sorting Hat’s song: You might belong in Hufflepuff where they are just and _____,Happy(False);Loyal(True);Friendly(False);Badgers(False);,How many points were awarded to Cedric Diggory in the second task of the Triwizard Tournament?,51(False);43(False);47(True);49(False);,What was Professor Sprout’s first name?,Pomona(True);Pansy(False);Pomegranate(False);Posy(False);,Who destroyed the Horcrux created from Helga Hufflepuff’s cup?,Ron Weasley(False);Bellatrix Lestrange(False);Hermione Granger(True);Harry Potter(False);,Of the following&#44 who was made a Hufflepuff Prefect?,Justin Finch-Fletchley(False);Hannah Abbott(True);Susan Bones(False);Nymphadora Tonks(False);,Would-be intruders to the Hufflepuff common room are drenched in which liquid?,Vinegar(True);Water(False);Oil(False);Wine(False);,Which Hufflepuff attended Professor Slughorn’s Potions class?,Ernie Macmillan(True);Hannah Abbott(False);Justin Finch-Fletchley(False);Zacharias Smith(False);,Susan Bones splinched which part of herself during an Apparating lesson?,Eyebrow(False);Leg(True);Hair(False);Arm(False);,
